uri,target_repo,info
/repositories/2/resources/13071,/repositories/3,"{'status': 'Moved', 'id': 13071, 'target': 3}"
/repositories/2/resources/13074,/repositories/3,"{'status': 'Moved', 'id': 13074, 'target': 3}"
/repositories/2/resources/24,/repositories/3,"{'status': 'Moved', 'id': 24, 'target': 3}"
/repositories/2/resources/12227,/repositories/3,"{'status': 'Moved', 'id': 12227, 'target': 3}"
/repositories/2/resources/12473,/repositories/3,"{'status': 'Moved', 'id': 12473, 'target': 3}"
/repositories/2/resources/28,/repositories/3,"{'status': 'Moved', 'id': 28, 'target': 3}"
/repositories/2/resources/12751,/repositories/3,"{'status': 'Moved', 'id': 12751, 'target': 3}"
/repositories/2/resources/26,/repositories/3,"{'status': 'Moved', 'id': 26, 'target': 3}"
/repositories/2/resources/12766,/repositories/3,"{'status': 'Moved', 'id': 12766, 'target': 3}"
/repositories/2/resources/12973,/repositories/3,"{'status': 'Moved', 'id': 12973, 'target': 3}"
/repositories/2/resources/12974,/repositories/3,"{'status': 'Moved', 'id': 12974, 'target': 3}"
/repositories/2/resources/12991,/repositories/3,"{'status': 'Moved', 'id': 12991, 'target': 3}"
/repositories/2/resources/25,/repositories/3,"{'status': 'Moved', 'id': 25, 'target': 3}"
