"aspace_uri","dob_count","dob_titles"
"/repositories/12/archival_objects/1000514",2,"[Preservica] ru_1024_2007-a-103_b152; [Preservica] ru_1024_2007-a-103_b153"
"/repositories/12/archival_objects/1000515",2,"[Preservica] ru_1024_2007-a-103_b154; [Preservica] ru_1024_2007-a-103_b155"
"/repositories/12/archival_objects/1000531",2,"[Preservica] ru_1024_2007-a-103_b160; [Preservica] ru_1024_2007-a-103_b161"
"/repositories/12/archival_objects/1000533",2,"[Preservica] ru_1024_2007-a-103_b162; [Preservica] ru_1024_2007-a-103_b164"
"/repositories/12/archival_objects/1000537",2,"[Preservica] ru_1024_2007-a-103_b169; [Preservica] ru_1024_2007-a-103_b170"
"/repositories/12/archival_objects/1000540",2,"[Preservica] ru_1024_2007-a-103_b173; [Preservica] ru_1024_2007-a-103_b174"
"/repositories/12/archival_objects/1000544",2,"[Preservica] ru_1024_2007-a-103_b176; [Preservica] ru_1024_2007-a-103_b177"
"/repositories/12/archival_objects/1000545",2,"[Preservica] ru_1024_2007-a-103_b178; [Preservica] ru_1024_2007-a-103_b179"
"/repositories/12/archival_objects/1000546",2,"[Preservica] ru_1024_2007-a-103_b180; [Preservica] ru_1024_2007-a-103_b181"
"/repositories/12/archival_objects/1000547",2,"[Preservica] ru_1024_2007-a-103_b182; [Preservica] ru_1024_2007-a-103_b183"
"/repositories/12/archival_objects/1000551",2,"[Preservica] ru_1024_2007-a-103_b185; [Preservica] ru_1024_2007-a-103_b186"
"/repositories/12/archival_objects/1000564",2,"[Preservica] ru_1024_2007-a-103_b193; [Preservica] ru_1024_2007-a-103_b194"
"/repositories/12/archival_objects/1000570",2,"[Preservica] ru_1024_2007-a-103_b198; [Preservica] ru_1024_2007-a-103_b199"
"/repositories/12/archival_objects/1000571",2,"[Preservica] ru_1024_2007-a-103_b200; [Preservica] ru_1024_2007-a-103_b201"
"/repositories/12/archival_objects/1000576",2,"[Preservica] ru_1024_2007-a-103_b203; [Preservica] ru_1024_2007-a-103_b204"
"/repositories/12/archival_objects/1000759",4,"[Preservica] ru_1024_2008-a-112_b243; [Preservica] ru_1024_2008-a-112_b244; [Preservica] ru_1024_2008-a-112_b245; [Preservica] ru_1024_2008-a-112_b246"
"/repositories/12/archival_objects/1001145",2,"[Preservica] ru_1024_s2010-a-037_b002; [Preservica] ru_1024_s2010-a-037_b001"
"/repositories/12/archival_objects/1001149",2,"[Preservica] ru_1024_s2010-a-037_b004; [Preservica] ru_1024_s2010-a-037_b005"
"/repositories/12/archival_objects/1001150",2,"[Preservica] ru_1024_2010-a-037_b006; [Preservica] ru_1024_2010-a-037_b007"
"/repositories/12/archival_objects/1001153",4,"[Preservica] ru_1024_s2010-a-037_b008; [Preservica] ru_1024_s2010-a-037_b009; [Preservica] ru_1024_s2010-a-037_b010; [Preservica] ru_1024_s2010-a-037_b009"
"/repositories/12/archival_objects/1001154",2,"[Preservica] ru_1024_2010-a-037_b011; [Preservica] ru_1024_2010-a-037_b012"
