"uri","component_id","display_string","iso_language_code","language","acquistions_note"
archives.yale.edu/repositories/11/archival_objects/2403306,P.CtYBR inv. 2192 qua,"Letter, Ptolemaic BCE 265-264 [BPG, CBW]",grc,"Greek, Ancient (to 1453)","Acquisition Information, 1909: Donated by the Egypt Exploration Fund, March 1909. From the Egypt Exploration Fund's excavations. Horde includes P.CtYBR inv. 2191-2203."
archives.yale.edu/repositories/11/archival_objects/2402927,P.CtYBR inv. 1767(A),"Order, Byzantine-Medieval CE vi-vii [TCP] / Medieval CE viii",grc,"Greek, Ancient (to 1453)","1964"
archives.yale.edu/repositories/11/archival_objects/2400702,P.CtYBR inv. 1131(A),"Document, Roman CE ii [CBW]",grc,"Greek, Ancient (to 1453)","1931b or 1931c"
archives.yale.edu/repositories/11/archival_objects/2405980,P.CtYBR inv. 5474,"Document (?), Ptolemaic",grc,"Greek, Ancient (to 1453)","1994c"
archives.yale.edu/repositories/11/archival_objects/2402626,P.CtYBR inv. 3751,"Document, Byzantine",grc,"Greek, Ancient (to 1453)","1965a"
archives.yale.edu/repositories/11/archival_objects/2400974,P.CtYBR inv. 1408(B),"Document, Roman CE ii [CBW]",grc,"Greek, Ancient (to 1453)","1931c"
archives.yale.edu/repositories/11/archival_objects/2404545,P.CtYBR inv. 4955,Literary work (?),egy,Egyptian (Ancient),"Acquisition information, 1992b: Purchased from Alan Edouard Samuel (University of Toronto) in New York, 24 February 1992. Related to acquisition 1965a. Horde includes P.CtYBR inv. 2016 (in part), 3077 (in part), 3078-3083, 3601-3607, 3610-3615, 3617, 3623-3629, 3658, 3666-3667, 3790, 3855-3999, 4001-4028, 4045-4079, 4081-4090, 4134-4183, 4186-4474, 4512-4596, 4675-4689, 4700, 4736-4899, 4901-4970, 5296-5458, 5549-6086, 6089-6094."
archives.yale.edu/repositories/11/archival_objects/2400464,P.CtYBR inv. 1065(B),Document,grc,"Greek, Ancient (to 1453)","1931b"
archives.yale.edu/repositories/11/archival_objects/2405800,P.CtYBR inv. DP 8 fol,"Letter, Roman CE 208",lat,Latin,
archives.yale.edu/repositories/11/archival_objects/2400772,P.CtYBR inv. 1258(B),"Document, Roman CE i-ii [CBW]",grc,"Greek, Ancient (to 1453)","1931c"
archives.yale.edu/repositories/11/archival_objects/2405319,P.CtYBR inv. 4492,"Document, Roman-Byzantine",grc,"Greek, Ancient (to 1453)","1996b"
archives.yale.edu/repositories/11/archival_objects/2403529,P.CtYBR inv. 2894,Document,grc,"Greek, Ancient (to 1453)",pre-1983
archives.yale.edu/repositories/11/archival_objects/2400360,P.CtYBR inv. 986,"Document, Roman",grc,"Greek, Ancient (to 1453)","1931b"
archives.yale.edu/repositories/11/archival_objects/2400996,P.CtYBR inv. 1426,"Document, Roman CE ii-iii (?) [NL]",grc,"Greek, Ancient (to 1453)","1931c"
archives.yale.edu/repositories/11/archival_objects/2400684,P.CtYBR inv. 2304,Document (?),grc,"Greek, Ancient (to 1453)","1931b"
archives.yale.edu/repositories/11/archival_objects/2404541,P.CtYBR inv. 4951,Literary work,egy,Egyptian (Ancient),"Acquisition information, 1992b: Purchased from Alan Edouard Samuel (University of Toronto) in New York, 24 February 1992. Related to acquisition 1965a. Horde includes P.CtYBR inv. 2016 (in part), 3077 (in part), 3078-3083, 3601-3607, 3610-3615, 3617, 3623-3629, 3658, 3666-3667, 3790, 3855-3999, 4001-4028, 4045-4079, 4081-4090, 4134-4183, 4186-4474, 4512-4596, 4675-4689, 4700, 4736-4899, 4901-4970, 5296-5458, 5549-6086, 6089-6094."
archives.yale.edu/repositories/11/archival_objects/2405960,P.CtYBR inv. 5182,"Literary, Ptolemaic BCE i",egy,Egyptian (Ancient),"1999"
archives.yale.edu/repositories/11/archival_objects/2404692,P.CtYBR inv. 5428,"Document (?), Medieval",ara,Arabic,"Acquisition information, 1992b: Purchased from Alan Edouard Samuel (University of Toronto) in New York, 24 February 1992. Related to acquisition 1965a. Horde includes P.CtYBR inv. 2016 (in part), 3077 (in part), 3078-3083, 3601-3607, 3610-3615, 3617, 3623-3629, 3658, 3666-3667, 3790, 3855-3999, 4001-4028, 4045-4079, 4081-4090, 4134-4183, 4186-4474, 4512-4596, 4675-4689, 4700, 4736-4899, 4901-4970, 5296-5458, 5549-6086, 6089-6094."
archives.yale.edu/repositories/11/archival_objects/2402385,P.CtYBR inv. 3436(A),Document (?),grc,"Greek, Ancient (to 1453)","1965a"
archives.yale.edu/repositories/11/archival_objects/2403318,P.CtYBR inv. 2203,"Account, Roman CE late ii-early iii [BPG]",grc,"Greek, Ancient (to 1453)","Acquisition Information, 1909: Donated by the Egypt Exploration Fund, March 1909. From the Egypt Exploration Fund's excavations. Horde includes P.CtYBR inv. 2191-2203."
archives.yale.edu/repositories/11/archival_objects/2403775,P.CtYBR inv. 4053,"Contract, Roman",grc,"Greek, Ancient (to 1453)","Acquisition information, 1992b: Purchased from Alan Edouard Samuel (University of Toronto) in New York, 24 February 1992. Related to acquisition 1965a. Horde includes P.CtYBR inv. 2016 (in part), 3077 (in part), 3078-3083, 3601-3607, 3610-3615, 3617, 3623-3629, 3658, 3666-3667, 3790, 3855-3999, 4001-4028, 4045-4079, 4081-4090, 4134-4183, 4186-4474, 4512-4596, 4675-4689, 4700, 4736-4899, 4901-4970, 5296-5458, 5549-6086, 6089-6094."
archives.yale.edu/repositories/11/archival_objects/2402011,P.CtYBR inv. 3101,Document (?),grc,"Greek, Ancient (to 1453)","1965a"
archives.yale.edu/repositories/11/archival_objects/2405828,P.CtYBR inv. DP 29(A),"List, Roman CE 233-235 [CBW]",lat,Latin,
archives.yale.edu/repositories/11/archival_objects/2402689,P.CtYBR inv. 3816,"Receipt (?), Roman CE ii",grc,"Greek, Ancient (to 1453)","1965a"
archives.yale.edu/repositories/11/archival_objects/2402073,P.CtYBR inv. 3158(second text),Document,grc,"Greek, Ancient (to 1453)","1965a"
archives.yale.edu/repositories/11/archival_objects/2399893,P.CtYBR inv. 581,"Document, Roman",grc,"Greek, Ancient (to 1453)","1931a"
archives.yale.edu/repositories/11/archival_objects/2405534,P.CtYBR inv. 5083,Document,grc,"Greek, Ancient (to 1453)","1997a"
archives.yale.edu/repositories/11/archival_objects/2399748,P.CtYBR inv. 461 fol,"Account, Byzantine [MIR]",grc,"Greek, Ancient (to 1453)","1931a"
archives.yale.edu/repositories/11/archival_objects/2401440,P.CtYBR inv. 1906(B),Document,cop,Coptic,"1965a"
archives.yale.edu/repositories/11/archival_objects/2403735,P.CtYBR inv. 4002,"Document, Roman",grc,"Greek, Ancient (to 1453)","Acquisition information, 1992b: Purchased from Alan Edouard Samuel (University of Toronto) in New York, 24 February 1992. Related to acquisition 1965a. Horde includes P.CtYBR inv. 2016 (in part), 3077 (in part), 3078-3083, 3601-3607, 3610-3615, 3617, 3623-3629, 3658, 3666-3667, 3790, 3855-3999, 4001-4028, 4045-4079, 4081-4090, 4134-4183, 4186-4474, 4512-4596, 4675-4689, 4700, 4736-4899, 4901-4970, 5296-5458, 5549-6086, 6089-6094."
archives.yale.edu/repositories/11/archival_objects/2403813,P.CtYBR inv. 4083,"Document, Roman CE ii [AES]",grc,"Greek, Ancient (to 1453)","Acquisition information, 1992b: Purchased from Alan Edouard Samuel (University of Toronto) in New York, 24 February 1992. Related to acquisition 1965a. Horde includes P.CtYBR inv. 2016 (in part), 3077 (in part), 3078-3083, 3601-3607, 3610-3615, 3617, 3623-3629, 3658, 3666-3667, 3790, 3855-3999, 4001-4028, 4045-4079, 4081-4090, 4134-4183, 4186-4474, 4512-4596, 4675-4689, 4700, 4736-4899, 4901-4970, 5296-5458, 5549-6086, 6089-6094."
archives.yale.edu/repositories/11/archival_objects/2405575,P.CtYBR inv. 5124,Document,grc,"Greek, Ancient (to 1453)","1997a"
archives.yale.edu/repositories/11/archival_objects/2399620,P.CtYBR inv. 359,"Letter, Roman CE ii-iii [MIR]",grc,"Greek, Ancient (to 1453)","1931a"
archives.yale.edu/repositories/11/archival_objects/2399894,P.CtYBR inv. 582,"Document, Roman",grc,"Greek, Ancient (to 1453)","1931a"
archives.yale.edu/repositories/11/archival_objects/2402104,P.CtYBR inv. 3181,"Document, Roman",grc,"Greek, Ancient (to 1453)","1965a"
archives.yale.edu/repositories/11/archival_objects/2401732,P.CtYBR inv. 2465,Uncertain genre,ara,Arabic,"1965a"
archives.yale.edu/repositories/11/archival_objects/2402301,P.CtYBR inv. 3357,Document ?,grc,"Greek, Ancient (to 1453)","1965a"
archives.yale.edu/repositories/11/archival_objects/2403255,P.CtYBR inv. 2343(A),Document,grc,"Greek, Ancient (to 1453)","1966b"
archives.yale.edu/repositories/11/archival_objects/2401263,P.CtYBR inv. 1630,"Document, Byzantine CE iv [NL]",grc,"Greek, Ancient (to 1453)","1935"
archives.yale.edu/repositories/11/archival_objects/2405973,P.CtYBR inv. 5467 (A-G),"Document, Ptolemaic",grc,"Greek, Ancient (to 1453)","1994c"
archives.yale.edu/repositories/11/archival_objects/2400673,P.CtYBR inv. 2294,Document (?),grc,"Greek, Ancient (to 1453)","1931b"
archives.yale.edu/repositories/11/archival_objects/2405381,P.CtYBR inv. 4603 qua,"Petition, Ptolemaic BCE 138",grc,"Greek, Ancient (to 1453)","1997a"
archives.yale.edu/repositories/11/archival_objects/2400721,P.CtYBR inv. 1221,"Document, Roman CE ii [CBW]",grc,"Greek, Ancient (to 1453)","1931c"
archives.yale.edu/repositories/11/archival_objects/2401510,P.CtYBR inv. 1967,"Document, Byzantine CE iv-vi [AES]",grc,"Greek, Ancient (to 1453)","1965a"
archives.yale.edu/repositories/11/archival_objects/2405383,P.CtYBR inv. 4605 qua,"Petition, Ptolemaic BCE 138",grc,"Greek, Ancient (to 1453)","1997a"
archives.yale.edu/repositories/11/archival_objects/2399934,P.CtYBR inv. 620(A),"Account, Roman",grc,"Greek, Ancient (to 1453)","1931a"
archives.yale.edu/repositories/11/archival_objects/2402606,P.CtYBR inv. 3731,"Document, Byzantine",grc,"Greek, Ancient (to 1453)","1965a"
archives.yale.edu/repositories/11/archival_objects/2403708,P.CtYBR inv. 3977,"Document, Roman",grc,"Greek, Ancient (to 1453)","Acquisition information, 1992b: Purchased from Alan Edouard Samuel (University of Toronto) in New York, 24 February 1992. Related to acquisition 1965a. Horde includes P.CtYBR inv. 2016 (in part), 3077 (in part), 3078-3083, 3601-3607, 3610-3615, 3617, 3623-3629, 3658, 3666-3667, 3790, 3855-3999, 4001-4028, 4045-4079, 4081-4090, 4134-4183, 4186-4474, 4512-4596, 4675-4689, 4700, 4736-4899, 4901-4970, 5296-5458, 5549-6086, 6089-6094."
archives.yale.edu/repositories/11/archival_objects/2402228,P.CtYBR inv. 3289,Document (?),grc,"Greek, Ancient (to 1453)","1965a"
archives.yale.edu/repositories/11/archival_objects/2404297,P.CtYBR inv. 4589,"Document, Roman",grc,"Greek, Ancient (to 1453)","Acquisition information, 1992b: Purchased from Alan Edouard Samuel (University of Toronto) in New York, 24 February 1992. Related to acquisition 1965a. Horde includes P.CtYBR inv. 2016 (in part), 3077 (in part), 3078-3083, 3601-3607, 3610-3615, 3617, 3623-3629, 3658, 3666-3667, 3790, 3855-3999, 4001-4028, 4045-4079, 4081-4090, 4134-4183, 4186-4474, 4512-4596, 4675-4689, 4700, 4736-4899, 4901-4970, 5296-5458, 5549-6086, 6089-6094."
archives.yale.edu/repositories/11/archival_objects/2403653,P.CtYBR inv. 3927,"Recto, Document|Verso, Account (?), Roman",grc,"Greek, Ancient (to 1453)","Acquisition information, 1992b: Purchased from Alan Edouard Samuel (University of Toronto) in New York, 24 February 1992. Related to acquisition 1965a. Horde includes P.CtYBR inv. 2016 (in part), 3077 (in part), 3078-3083, 3601-3607, 3610-3615, 3617, 3623-3629, 3658, 3666-3667, 3790, 3855-3999, 4001-4028, 4045-4079, 4081-4090, 4134-4183, 4186-4474, 4512-4596, 4675-4689, 4700, 4736-4899, 4901-4970, 5296-5458, 5549-6086, 6089-6094."
archives.yale.edu/repositories/11/archival_objects/2403507,P.CtYBR inv. 2749,"Account, Medieval CE ix [NA]",ara,Arabic,"1965c"
archives.yale.edu/repositories/11/archival_objects/2401669,P.CtYBR inv. 2406,Uncertain genre,ara,Arabic,"1965a"
archives.yale.edu/repositories/11/archival_objects/2404492,P.CtYBR inv. 4902,Document,egy,Egyptian (Ancient),"Acquisition information, 1992b: Purchased from Alan Edouard Samuel (University of Toronto) in New York, 24 February 1992. Related to acquisition 1965a. Horde includes P.CtYBR inv. 2016 (in part), 3077 (in part), 3078-3083, 3601-3607, 3610-3615, 3617, 3623-3629, 3658, 3666-3667, 3790, 3855-3999, 4001-4028, 4045-4079, 4081-4090, 4134-4183, 4186-4474, 4512-4596, 4675-4689, 4700, 4736-4899, 4901-4970, 5296-5458, 5549-6086, 6089-6094."
archives.yale.edu/repositories/11/archival_objects/2403375,P.CtYBR inv. 2633,"Letter, Medieval CE ix [NA]",ara,Arabic,"1965c"
archives.yale.edu/repositories/11/archival_objects/2402252,P.CtYBR inv. 3311,Document,grc,"Greek, Ancient (to 1453)","1965a"
archives.yale.edu/repositories/11/archival_objects/2401265,P.CtYBR inv. 1633,"Contract, Roman CE 190-191 [RD]",grc,"Greek, Ancient (to 1453)","1935"
archives.yale.edu/repositories/11/archival_objects/2402778,P.CtYBR inv. 4113,"Document (?), Byzantine (?)",cop,Coptic,"1965a"
archives.yale.edu/repositories/11/archival_objects/2401429,P.CtYBR inv. 1897(A),Letter (?),cop,Coptic,"1965a"
archives.yale.edu/repositories/11/archival_objects/2405902,P.CtYBR inv. DP 101 qua,"Contract, Roman CE 227",grc,"Greek, Ancient (to 1453)",
archives.yale.edu/repositories/11/archival_objects/2399824,P.CtYBR inv. 524,"Document, Byzantine [MIR]",grc,"Greek, Ancient (to 1453)","1931a"
archives.yale.edu/repositories/11/archival_objects/2400452,P.CtYBR inv. 1057(A),"Document, Roman",grc,"Greek, Ancient (to 1453)","1931b"
archives.yale.edu/repositories/11/archival_objects/2399149,P.CtYBR inv. 16,"Certificate, Roman CE 119, Aug 1",grc,"Greek, Ancient (to 1453)","1901"
archives.yale.edu/repositories/11/archival_objects/2403723,P.CtYBR inv. 3991,"Contract (?), Roman",grc,"Greek, Ancient (to 1453)","Acquisition information, 1992b: Purchased from Alan Edouard Samuel (University of Toronto) in New York, 24 February 1992. Related to acquisition 1965a. Horde includes P.CtYBR inv. 2016 (in part), 3077 (in part), 3078-3083, 3601-3607, 3610-3615, 3617, 3623-3629, 3658, 3666-3667, 3790, 3855-3999, 4001-4028, 4045-4079, 4081-4090, 4134-4183, 4186-4474, 4512-4596, 4675-4689, 4700, 4736-4899, 4901-4970, 5296-5458, 5549-6086, 6089-6094."
archives.yale.edu/repositories/11/archival_objects/2404272,P.CtYBR inv. 4565,"Document (?), Roman",lat,Latin,"Acquisition information, 1992b: Purchased from Alan Edouard Samuel (University of Toronto) in New York, 24 February 1992. Related to acquisition 1965a. Horde includes P.CtYBR inv. 2016 (in part), 3077 (in part), 3078-3083, 3601-3607, 3610-3615, 3617, 3623-3629, 3658, 3666-3667, 3790, 3855-3999, 4001-4028, 4045-4079, 4081-4090, 4134-4183, 4186-4474, 4512-4596, 4675-4689, 4700, 4736-4899, 4901-4970, 5296-5458, 5549-6086, 6089-6094."
archives.yale.edu/repositories/11/archival_objects/2402479,P.CtYBR inv. 3528,Document (?),grc,"Greek, Ancient (to 1453)","1965a"
archives.yale.edu/repositories/11/archival_objects/2405847,P.CtYBR inv. DP 41(A),"List, Roman CE 230-240 (?) [CBW]",lat,Latin,
archives.yale.edu/repositories/11/archival_objects/2399746,P.CtYBR inv. 459,"Document (?) or literary work (?), Roman (?)",grc,"Greek, Ancient (to 1453)","1931a"
archives.yale.edu/repositories/11/archival_objects/2403323,P.CtYBR inv. 2588(A) qua,"Literary work, Medieval CE ix [NA]",ara,Arabic,"1965c"
archives.yale.edu/repositories/11/archival_objects/2402037,P.CtYBR inv. 3127,Document (?),grc,"Greek, Ancient (to 1453)","1965a"
archives.yale.edu/repositories/11/archival_objects/2405508,P.CtYBR inv. 5048,"Document, Byzantine-Medieval",cop,Coptic,"1997a"
archives.yale.edu/repositories/11/archival_objects/2401152,P.CtYBR inv. 1651,"Document, Roman CE ii-iii (?) [NL]",grc,"Greek, Ancient (to 1453)","1933 or 1935"
archives.yale.edu/repositories/11/archival_objects/2405936,P.CtYBR inv. DPg 23 qua,"Contract, Roman CE 180",grc,"Greek, Ancient (to 1453)",
archives.yale.edu/repositories/11/archival_objects/2405943,P.CtYBR inv. DPg 30,"List, Roman CE iii [CBW]",grc,"Greek, Ancient (to 1453)",
archives.yale.edu/repositories/11/archival_objects/2405281,P.CtYBR inv. 3678,"School exercise, Byzantine CE 470 [RD]",grc,"Greek, Ancient (to 1453)","1994a"
archives.yale.edu/repositories/11/archival_objects/2405256,P.CtYBR inv. 6092,"Uncertain genre, Ptolemaic",,,"Acquisition information, 1992b: Purchased from Alan Edouard Samuel (University of Toronto) in New York, 24 February 1992. Related to acquisition 1965a. Horde includes P.CtYBR inv. 2016 (in part), 3077 (in part), 3078-3083, 3601-3607, 3610-3615, 3617, 3623-3629, 3658, 3666-3667, 3790, 3855-3999, 4001-4028, 4045-4079, 4081-4090, 4134-4183, 4186-4474, 4512-4596, 4675-4689, 4700, 4736-4899, 4901-4970, 5296-5458, 5549-6086, 6089-6094."
archives.yale.edu/repositories/11/archival_objects/2400090,P.CtYBR inv. 756,"Literary work, Ptolemaic BCE late ii [SAS]",grc,"Greek, Ancient (to 1453)","1931a"
archives.yale.edu/repositories/11/archival_objects/2404918,P.CtYBR inv. 5749,"Uncertain genre, Ptolemaic",egy,Egyptian (Ancient),"Acquisition information, 1992b: Purchased from Alan Edouard Samuel (University of Toronto) in New York, 24 February 1992. Related to acquisition 1965a. Horde includes P.CtYBR inv. 2016 (in part), 3077 (in part), 3078-3083, 3601-3607, 3610-3615, 3617, 3623-3629, 3658, 3666-3667, 3790, 3855-3999, 4001-4028, 4045-4079, 4081-4090, 4134-4183, 4186-4474, 4512-4596, 4675-4689, 4700, 4736-4899, 4901-4970, 5296-5458, 5549-6086, 6089-6094."
archives.yale.edu/repositories/11/archival_objects/2405092,P.CtYBR inv. 5923,"Uncertain genre, Ptolemaic",egy,Egyptian (Ancient),"Acquisition information, 1992b: Purchased from Alan Edouard Samuel (University of Toronto) in New York, 24 February 1992. Related to acquisition 1965a. Horde includes P.CtYBR inv. 2016 (in part), 3077 (in part), 3078-3083, 3601-3607, 3610-3615, 3617, 3623-3629, 3658, 3666-3667, 3790, 3855-3999, 4001-4028, 4045-4079, 4081-4090, 4134-4183, 4186-4474, 4512-4596, 4675-4689, 4700, 4736-4899, 4901-4970, 5296-5458, 5549-6086, 6089-6094."
archives.yale.edu/repositories/11/archival_objects/2404285,P.CtYBR inv. 4577,"Document, Roman",grc,"Greek, Ancient (to 1453)","Acquisition information, 1992b: Purchased from Alan Edouard Samuel (University of Toronto) in New York, 24 February 1992. Related to acquisition 1965a. Horde includes P.CtYBR inv. 2016 (in part), 3077 (in part), 3078-3083, 3601-3607, 3610-3615, 3617, 3623-3629, 3658, 3666-3667, 3790, 3855-3999, 4001-4028, 4045-4079, 4081-4090, 4134-4183, 4186-4474, 4512-4596, 4675-4689, 4700, 4736-4899, 4901-4970, 5296-5458, 5549-6086, 6089-6094."
archives.yale.edu/repositories/11/archival_objects/2401147,P.CtYBR inv. 1535 qua,"Receipt, Roman CE 260-261 [ZMP]",grc,"Greek, Ancient (to 1453)","1933 or 1935"
archives.yale.edu/repositories/11/archival_objects/2400914,P.CtYBR inv. 1366(A),"Account, Byzantine CE iv-v [CBW]/ Byzantine CE 624 [NG]",grc,"Greek, Ancient (to 1453)","1931c"
archives.yale.edu/repositories/11/archival_objects/2402046,P.CtYBR inv. 3134,Document (?),grc,"Greek, Ancient (to 1453)","1965a"
archives.yale.edu/repositories/11/archival_objects/2401143,P.CtYBR inv. 1544(B),"Literary work, Roman CE i [SAS]",grc,"Greek, Ancient (to 1453)","1933"
archives.yale.edu/repositories/11/archival_objects/2402276,P.CtYBR inv. 3334,Document,grc,"Greek, Ancient (to 1453)","1965a"
archives.yale.edu/repositories/11/archival_objects/2404880,P.CtYBR inv. 5711 (A-B),"Document (?), Byzantine",grc,"Greek, Ancient (to 1453)","1992b"
archives.yale.edu/repositories/11/archival_objects/2402455,P.CtYBR inv. 3507,Document,grc,"Greek, Ancient (to 1453)","1965a"
archives.yale.edu/repositories/11/archival_objects/2399402,P.CtYBR inv. 239,"Document (?), Ptolemaic [HIB]",grc,"Greek, Ancient (to 1453)","1927"
archives.yale.edu/repositories/11/archival_objects/2404090,P.CtYBR inv. 4361,Literary work,cop,Coptic,"Acquisition information, 1992b: Purchased from Alan Edouard Samuel (University of Toronto) in New York, 24 February 1992. Related to acquisition 1965a. Horde includes P.CtYBR inv. 2016 (in part), 3077 (in part), 3078-3083, 3601-3607, 3610-3615, 3617, 3623-3629, 3658, 3666-3667, 3790, 3855-3999, 4001-4028, 4045-4079, 4081-4090, 4134-4183, 4186-4474, 4512-4596, 4675-4689, 4700, 4736-4899, 4901-4970, 5296-5458, 5549-6086, 6089-6094."
archives.yale.edu/repositories/11/archival_objects/2399745,P.CtYBR inv. 458,"Document, Roman CE ii [GMP]|Roman CE early i (14-37?) [JDT]",grc,"Greek, Ancient (to 1453)","1931a"
archives.yale.edu/repositories/11/archival_objects/2402608,P.CtYBR inv. 3733 qua,"Document, Roman",grc,"Greek, Ancient (to 1453)","1965a"
archives.yale.edu/repositories/11/archival_objects/2404108,P.CtYBR inv. 4377(A),"Account, Ptolemaic",grc,"Greek, Ancient (to 1453)","Acquisition information, 1992b: Purchased from Alan Edouard Samuel (University of Toronto) in New York, 24 February 1992. Related to acquisition 1965a. Horde includes P.CtYBR inv. 2016 (in part), 3077 (in part), 3078-3083, 3601-3607, 3610-3615, 3617, 3623-3629, 3658, 3666-3667, 3790, 3855-3999, 4001-4028, 4045-4079, 4081-4090, 4134-4183, 4186-4474, 4512-4596, 4675-4689, 4700, 4736-4899, 4901-4970, 5296-5458, 5549-6086, 6089-6094."
archives.yale.edu/repositories/11/archival_objects/2403890,P.CtYBR inv. 4191(A),"Account, Roman",grc,"Greek, Ancient (to 1453)","Acquisition information, 1992b: Purchased from Alan Edouard Samuel (University of Toronto) in New York, 24 February 1992. Related to acquisition 1965a. Horde includes P.CtYBR inv. 2016 (in part), 3077 (in part), 3078-3083, 3601-3607, 3610-3615, 3617, 3623-3629, 3658, 3666-3667, 3790, 3855-3999, 4001-4028, 4045-4079, 4081-4090, 4134-4183, 4186-4474, 4512-4596, 4675-4689, 4700, 4736-4899, 4901-4970, 5296-5458, 5549-6086, 6089-6094."
archives.yale.edu/repositories/11/archival_objects/2403267,P.CtYBR inv. 2351,Document,grc,"Greek, Ancient (to 1453)","1966b"
archives.yale.edu/repositories/11/archival_objects/2405120,P.CtYBR inv. 5952,"Document, Byzantine",grc,"Greek, Ancient (to 1453)","Acquisition information, 1992b: Purchased from Alan Edouard Samuel (University of Toronto) in New York, 24 February 1992. Related to acquisition 1965a. Horde includes P.CtYBR inv. 2016 (in part), 3077 (in part), 3078-3083, 3601-3607, 3610-3615, 3617, 3623-3629, 3658, 3666-3667, 3790, 3855-3999, 4001-4028, 4045-4079, 4081-4090, 4134-4183, 4186-4474, 4512-4596, 4675-4689, 4700, 4736-4899, 4901-4970, 5296-5458, 5549-6086, 6089-6094."
archives.yale.edu/repositories/11/archival_objects/2404235,P.CtYBR inv. 4529,Literary work,egy,Egyptian (Ancient),"1992b"
archives.yale.edu/repositories/11/archival_objects/2400700,P.CtYBR inv. 3804(A),"Account, Roman",grc,"Greek, Ancient (to 1453)","1931b"
archives.yale.edu/repositories/11/archival_objects/2401051,P.CtYBR inv. 1461 qua,"Document, Byzantine-Medieval CE vii-viii [NL]",grc,"Greek, Ancient (to 1453)","1928"
archives.yale.edu/repositories/11/archival_objects/2404647,P.CtYBR inv. 5383,"Uncertain genre, Medieval",ara,Arabic,"Acquisition information, 1992b: Purchased from Alan Edouard Samuel (University of Toronto) in New York, 24 February 1992. Related to acquisition 1965a. Horde includes P.CtYBR inv. 2016 (in part), 3077 (in part), 3078-3083, 3601-3607, 3610-3615, 3617, 3623-3629, 3658, 3666-3667, 3790, 3855-3999, 4001-4028, 4045-4079, 4081-4090, 4134-4183, 4186-4474, 4512-4596, 4675-4689, 4700, 4736-4899, 4901-4970, 5296-5458, 5549-6086, 6089-6094."
archives.yale.edu/repositories/11/archival_objects/2400802,P.CtYBR inv. 1280(A),"Receipt (?), Roman CE 41-54 (Jul 24)",grc,"Greek, Ancient (to 1453)","1931c"
archives.yale.edu/repositories/11/archival_objects/2405351,P.CtYBR inv. 4624(B),"Document, Roman",grc,"Greek, Ancient (to 1453)","1996c"
archives.yale.edu/repositories/11/archival_objects/2400359,P.CtYBR inv. 985,"Account (?), Roman CE i [CBW]",grc,"Greek, Ancient (to 1453)","1931b"
archives.yale.edu/repositories/11/archival_objects/2405789,P.CtYBR inv. 5703 (A-B),"Uncertain genre, Ptolemaic",egy,Egyptian (Ancient),
archives.yale.edu/repositories/11/archival_objects/2404457,P.CtYBR inv. 4866,Document,egy,Egyptian (Ancient),"Acquisition information, 1992b: Purchased from Alan Edouard Samuel (University of Toronto) in New York, 24 February 1992. Related to acquisition 1965a. Horde includes P.CtYBR inv. 2016 (in part), 3077 (in part), 3078-3083, 3601-3607, 3610-3615, 3617, 3623-3629, 3658, 3666-3667, 3790, 3855-3999, 4001-4028, 4045-4079, 4081-4090, 4134-4183, 4186-4474, 4512-4596, 4675-4689, 4700, 4736-4899, 4901-4970, 5296-5458, 5549-6086, 6089-6094."
archives.yale.edu/repositories/11/archival_objects/2400016,P.CtYBR inv. 692(A),"Letter, Roman (?)",grc,"Greek, Ancient (to 1453)","1931a"
archives.yale.edu/repositories/11/archival_objects/2405672,P.CtYBR inv. 5227,"Letter, Ptolemaic",grc,"Greek, Ancient (to 1453)","1997a"
archives.yale.edu/repositories/11/archival_objects/2406031,P.CtYBR inv. 5526,"Document (?), Ptolemaic",grc,"Greek, Ancient (to 1453)","1994c"
archives.yale.edu/repositories/11/archival_objects/2402692,P.CtYBR inv. 3819,"Contract (?), Roman",grc,"Greek, Ancient (to 1453)","1965a"
archives.yale.edu/repositories/11/archival_objects/2403584,P.CtYBR inv. 3863(B),"Document, Ptolemaic-Roman (?)",grc,"Greek, Ancient (to 1453)","Acquisition information, 1992b: Purchased from Alan Edouard Samuel (University of Toronto) in New York, 24 February 1992. Related to acquisition 1965a. Horde includes P.CtYBR inv. 2016 (in part), 3077 (in part), 3078-3083, 3601-3607, 3610-3615, 3617, 3623-3629, 3658, 3666-3667, 3790, 3855-3999, 4001-4028, 4045-4079, 4081-4090, 4134-4183, 4186-4474, 4512-4596, 4675-4689, 4700, 4736-4899, 4901-4970, 5296-5458, 5549-6086, 6089-6094."
archives.yale.edu/repositories/11/archival_objects/2399782,P.CtYBR inv. 490 qua,"Contract, Roman CE 204, Nov 16",grc,"Greek, Ancient (to 1453)","1931a"
archives.yale.edu/repositories/11/archival_objects/2402135,P.CtYBR inv. 3205,"Document, Roman",grc,"Greek, Ancient (to 1453)","1965a"
archives.yale.edu/repositories/11/archival_objects/2405425,P.CtYBR inv. 4691,"Document, Ptolemaic",grc,"Greek, Ancient (to 1453)","1997a"
archives.yale.edu/repositories/11/archival_objects/2400755,P.CtYBR inv. 1248(A),"Document, Roman CE i-ii [CBW]",grc,"Greek, Ancient (to 1453)","1931c"
archives.yale.edu/repositories/11/archival_objects/2402419,P.CtYBR inv. 3464,"Document, Roman",grc,"Greek, Ancient (to 1453)","1965a"
