"uri","component_id","display_string","iso_language_code","language","acquistions_note"
archives.yale.edu/repositories/11/archival_objects/2403816,P.CtYBR inv. 4086(A),"Account, Roman",grc,"Greek, Ancient (to 1453)","Acquisition information, 1992b: Purchased from Alan Edouard Samuel (University of Toronto) in New York, 24 February 1992. Related to acquisition 1965a. Horde includes P.CtYBR inv. 2016 (in part), 3077 (in part), 3078-3083, 3601-3607, 3610-3615, 3617, 3623-3629, 3658, 3666-3667, 3790, 3855-3999, 4001-4028, 4045-4079, 4081-4090, 4134-4183, 4186-4474, 4512-4596, 4675-4689, 4700, 4736-4899, 4901-4970, 5296-5458, 5549-6086, 6089-6094."
archives.yale.edu/repositories/11/archival_objects/2403804,P.CtYBR inv. 4074(B),"List, Roman",grc,"Greek, Ancient (to 1453)","Acquisition information, 1992b: Purchased from Alan Edouard Samuel (University of Toronto) in New York, 24 February 1992. Related to acquisition 1965a. Horde includes P.CtYBR inv. 2016 (in part), 3077 (in part), 3078-3083, 3601-3607, 3610-3615, 3617, 3623-3629, 3658, 3666-3667, 3790, 3855-3999, 4001-4028, 4045-4079, 4081-4090, 4134-4183, 4186-4474, 4512-4596, 4675-4689, 4700, 4736-4899, 4901-4970, 5296-5458, 5549-6086, 6089-6094."
archives.yale.edu/repositories/11/archival_objects/2402365,P.CtYBR inv. 3417,Document,grc,"Greek, Ancient (to 1453)","1965a"
archives.yale.edu/repositories/11/archival_objects/2400557,P.CtYBR inv. 1137(A),"Account, Roman CE i [CBW]",grc,"Greek, Ancient (to 1453)","1931b"
archives.yale.edu/repositories/11/archival_objects/2405797,P.CtYBR inv. DP 5,"Docket, Roman CE 235",grc,"Greek, Ancient (to 1453)",
archives.yale.edu/repositories/11/archival_objects/2399224,P.CtYBR inv. 71,"Edict, Medieval CE early viii [HIB]| Medieval CE May-October 693 [NG/FM]",grc,"Greek, Ancient (to 1453)","Acquisition Information, 1927: Purchased in Egypt on behalf of Yale, with funds that may have been donated by the General Education Fund of the Rockefeller Foundation's General Education Board. The dealers' names are given as Harold Idris Bell reported them in his 1927 report.| P.CtYBR inv. 70 and 71 were purchased by Harold Idris Bell in Luxor, on 6th December 1926."
archives.yale.edu/repositories/11/archival_objects/2403343,P.CtYBR inv. 2605 qua,"Letter, Medieval CE viii [NA]",ara,Arabic,"1965c"
archives.yale.edu/repositories/11/archival_objects/2403395,P.CtYBR inv. 2649(first text) qua,"Letter, Medieval CE viii [NA]",ara,Arabic,"1965c"
archives.yale.edu/repositories/11/archival_objects/2404713,P.CtYBR inv. 5450,Uncertain genre,,,"Acquisition information, 1992b: Purchased from Alan Edouard Samuel (University of Toronto) in New York, 24 February 1992. Related to acquisition 1965a. Horde includes P.CtYBR inv. 2016 (in part), 3077 (in part), 3078-3083, 3601-3607, 3610-3615, 3617, 3623-3629, 3658, 3666-3667, 3790, 3855-3999, 4001-4028, 4045-4079, 4081-4090, 4134-4183, 4186-4474, 4512-4596, 4675-4689, 4700, 4736-4899, 4901-4970, 5296-5458, 5549-6086, 6089-6094."
archives.yale.edu/repositories/11/archival_objects/2399974,P.CtYBR inv. 655,"Letter, Roman-Byzantine",grc,"Greek, Ancient (to 1453)","1931a"
archives.yale.edu/repositories/11/archival_objects/2400022,P.CtYBR inv. 697,Document,,,"1931a"
archives.yale.edu/repositories/11/archival_objects/2405267,P.CtYBR inv. 3482 qua,Literary work,cop,Coptic,"1992a"
archives.yale.edu/repositories/11/archival_objects/2401270,P.CtYBR inv. 1637(A),"Literary work, Roman-Byzantine CE iii-iv (?) [GMP? NL?]",grc,"Greek, Ancient (to 1453)","1935"
archives.yale.edu/repositories/11/archival_objects/2400604,P.CtYBR inv. 1177,"Document, Ptolemaic-Roman BCE i [CBW]",grc,"Greek, Ancient (to 1453)","1931b"
