uri,status,info
/repositories/11/accessions/25315,200,
/repositories/11/accessions/25364,200,
/repositories/11/accessions/25365,200,
/repositories/11/accessions/25881,200,
/repositories/11/accessions/23240,200,
/repositories/11/accessions/25543,200,
/repositories/11/accessions/25312,200,
/repositories/11/accessions/22167,200,
/repositories/11/accessions/25020,200,
/repositories/11/accessions/24323,200,
/repositories/11/accessions/25918,200,
/repositories/11/accessions/21478,200,
/repositories/11/accessions/24794,200,
/repositories/11/accessions/24890,200,
/repositories/11/accessions/25941,200,
/repositories/11/accessions/21375,200,
/repositories/11/accessions/23376,200,
/repositories/11/accessions/21477,200,
/repositories/11/accessions/24343,200,
/repositories/11/accessions/23458,200,
/repositories/11/accessions/24886,200,
/repositories/11/accessions/24921,200,
/repositories/11/accessions/25387,200,
/repositories/11/accessions/25452,200,
/repositories/11/accessions/25913,200,
/repositories/11/accessions/25975,200,
/repositories/11/accessions/22760,200,
/repositories/11/accessions/22761,200,
/repositories/11/accessions/22477,200,
/repositories/11/accessions/25646,200,
/repositories/11/accessions/26323,200,
/repositories/11/accessions/22214,200,
/repositories/11/accessions/24572,200,
/repositories/11/accessions/25644,200,
/repositories/11/accessions/23038,200,
/repositories/11/accessions/26184,200,
/repositories/11/accessions/26384,200,
/repositories/11/accessions/23753,200,
/repositories/11/accessions/22333,200,
/repositories/11/accessions/22730,200,
/repositories/11/accessions/23712,200,
/repositories/11/accessions/23831,200,
/repositories/11/accessions/23813,200,
/repositories/11/accessions/24025,200,
/repositories/11/accessions/24387,200,
/repositories/11/accessions/24683,200,
/repositories/11/accessions/24574,200,
/repositories/11/accessions/24719,200,
/repositories/11/accessions/24778,200,
/repositories/11/accessions/26233,200,
/repositories/11/accessions/26250,200,
/repositories/11/accessions/23202,200,
/repositories/11/accessions/23985,200,
/repositories/11/accessions/21853,200,
/repositories/11/accessions/24958,200,
/repositories/11/accessions/26234,200,
/repositories/11/accessions/24404,200,
/repositories/11/accessions/25812,200,
/repositories/11/accessions/23199,200,
/repositories/11/accessions/26339,200,
/repositories/11/accessions/24792,200,
/repositories/11/accessions/24515,200,
/repositories/11/accessions/24918,200,
/repositories/11/accessions/26249,200,
/repositories/11/accessions/23501,200,
/repositories/11/accessions/24578,200,
/repositories/11/accessions/23754,200,
/repositories/11/accessions/25669,200,
/repositories/11/accessions/25525,200,
/repositories/11/accessions/22599,200,
/repositories/11/accessions/23512,200,
/repositories/11/accessions/26560,200,
/repositories/11/accessions/26473,200,
/repositories/11/accessions/26445,200,
/repositories/11/accessions/25379,200,
/repositories/11/accessions/27236,200,
/repositories/11/accessions/23984,200,
/repositories/11/accessions/24430,200,
/repositories/11/accessions/23163,200,
/repositories/11/accessions/25223,200,
/repositories/11/accessions/25232,200,
/repositories/11/accessions/24603,200,
/repositories/11/accessions/25027,200,
/repositories/11/accessions/23444,200,
/repositories/11/accessions/22790,200,
/repositories/11/accessions/25523,200,
/repositories/11/accessions/27333,200,
/repositories/11/accessions/26472,200,
/repositories/11/accessions/23707,200,
/repositories/11/accessions/23135,200,
/repositories/11/accessions/27286,200,
/repositories/11/accessions/27287,200,
/repositories/11/accessions/27311,200,
/repositories/11/accessions/24815,200,
/repositories/11/accessions/22384,200,
/repositories/11/accessions/24651,200,
/repositories/11/accessions/25178,200,
/repositories/11/accessions/23221,200,
/repositories/11/accessions/24114,200,
/repositories/11/accessions/22721,200,
/repositories/11/accessions/27635,200,
/repositories/11/accessions/26464,200,
/repositories/11/accessions/27380,200,
/repositories/11/accessions/27364,200,
/repositories/11/accessions/27345,200,
/repositories/11/accessions/27341,200,
/repositories/11/accessions/23726,200,
/repositories/12/accessions/21471,200,
/repositories/12/accessions/22392,200,
/repositories/12/accessions/22827,200,
/repositories/11/accessions/22708,200,
/repositories/11/accessions/22716,200,
/repositories/11/accessions/24717,200,
/repositories/11/accessions/27237,200,
/repositories/11/accessions/25621,200,
/repositories/11/accessions/23067,200,
/repositories/11/accessions/27425,200,
/repositories/11/accessions/27589,200,
/repositories/11/accessions/24255,200,
/repositories/11/accessions/21281,200,
/repositories/11/accessions/23513,200,
/repositories/11/accessions/22234,200,
/repositories/11/accessions/26609,200,
/repositories/11/accessions/27384,200,
/repositories/11/accessions/27438,200,
/repositories/11/accessions/21327,200,
/repositories/11/accessions/21328,200,
/repositories/11/accessions/23527,200,
/repositories/11/accessions/22986,200,
/repositories/11/accessions/26371,200,
