uri,original,update,info
/repositories/11/archival_objects/541593,['(2 boxes)'],['2 boxes'],200
/repositories/12/archival_objects/1099824,['(6 boxes)'],['6 boxes'],200
/repositories/11/archival_objects/241131,['(14 boxes) + 9 broadside'],['14 boxes + 9 broadside'],200
/repositories/11/archival_objects/2630476,['(1 box)'],['1 box'],200
/repositories/11/archival_objects/2632762,['(1 roll)'],['1 roll'],200
/repositories/11/archival_objects/2632760,['(2 boxes)'],['2 boxes'],200
/repositories/11/archival_objects/2632761,['(2 boxes)'],['2 boxes'],200
/repositories/11/archival_objects/2680157,['(11 folders)'],['11 folders'],200
/repositories/11/archival_objects/2680163,['(7 folders)'],['7 folders'],200
/repositories/11/archival_objects/2680178,['(2 folders)'],['2 folders'],200
/repositories/11/archival_objects/2680179,['(3 folders)'],['3 folders'],200
/repositories/11/archival_objects/434064,['(1 box)'],['1 box'],200
/repositories/11/archival_objects/2689730,['(3 folders)'],['3 folders'],200
/repositories/11/archival_objects/2689735,['(3 folders)'],['3 folders'],200
/repositories/11/archival_objects/2689760,['(4 folders)'],['4 folders'],200
/repositories/11/archival_objects/2689762,['(5 folders)'],['5 folders'],200
/repositories/11/archival_objects/2690481,['(6 folders)'],['6 folders'],200
/repositories/11/archival_objects/2690530,['(7 folders)'],['7 folders'],200
/repositories/11/archival_objects/2690567,['(5 folders)'],['5 folders'],200
/repositories/11/archival_objects/2690621,['(3 folders)'],['3 folders'],200
/repositories/11/archival_objects/2692175,['(3 folders)'],['3 folders'],200
/repositories/11/archival_objects/2692176,['(2 folders)'],['2 folders'],200
/repositories/11/archival_objects/2692358,['(5 folders)'],['5 folders'],200
/repositories/11/archival_objects/2692359,['(4 folders)'],['4 folders'],200
/repositories/11/archival_objects/2692360,['(4 folders)'],['4 folders'],200
/repositories/11/archival_objects/2694009,['(2 folders)'],['2 folders'],200
/repositories/11/archival_objects/2694035,['(3 folders)'],['3 folders'],200
/repositories/11/archival_objects/2694037,['(2 folders)'],['2 folders'],200
/repositories/11/archival_objects/2694038,['(3 folders)'],['3 folders'],200
/repositories/11/archival_objects/2694040,['(7 folders)'],['7 folders'],200
/repositories/11/archival_objects/2694048,['(3 folders)'],['3 folders'],200
/repositories/11/archival_objects/2694050,['(2 folders)'],['2 folders'],200
/repositories/11/archival_objects/2694051,['(3 folders)'],['3 folders'],200
/repositories/11/archival_objects/2694096,['(2 folders)'],['2 folders'],200
/repositories/11/archival_objects/2694600,['(2 folders)'],['2 folders'],200
/repositories/11/archival_objects/2694661,['(2 folders)'],['2 folders'],200
/repositories/11/archival_objects/2694664,['(3 folders)'],['3 folders'],200
/repositories/11/archival_objects/2694685,['(8 folders)'],['8 folders'],200
/repositories/11/archival_objects/2694686,['(8 folders)'],['8 folders'],200
/repositories/11/archival_objects/2694687,['(5 folders)'],['5 folders'],200
/repositories/11/archival_objects/2694688,['(6 folders)'],['6 folders'],200
/repositories/11/archival_objects/2694703,['(6 folders)'],['6 folders'],200
/repositories/11/archival_objects/2694707,['(2 folders)'],['2 folders'],200
/repositories/11/archival_objects/2694709,['(2 folders)'],['2 folders'],200
/repositories/11/archival_objects/2694932,['(17 folders)'],['17 folders'],200
/repositories/11/archival_objects/2694931,['(16 folders)'],['16 folders'],200
/repositories/11/archival_objects/2694938,['(2 folders)'],['2 folders'],200
/repositories/11/archival_objects/2694935,['(12 folders)'],['12 folders'],200
/repositories/11/archival_objects/2694934,['(5 folders)'],['5 folders'],200
/repositories/11/archival_objects/2694940,['(2 folders)'],['2 folders'],200
/repositories/11/archival_objects/2694942,['(2 folders)'],['2 folders'],200
/repositories/11/archival_objects/2694985,['(4 folders)'],['4 folders'],200
/repositories/11/archival_objects/2694986,['(2 folders)'],['2 folders'],200
/repositories/11/archival_objects/2694996,['(2 folders)'],['2 folders'],200
/repositories/11/archival_objects/2694997,['(2 folders)'],['2 folders'],200
/repositories/11/archival_objects/2695007,['(4 folders)'],['4 folders'],200
/repositories/11/archival_objects/2695009,['(3 folders)'],['3 folders'],200
