Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50,Column51,Column52,Column53,Column54,Column55,Column56,Column57,Column58,Column59
level number,level type,unitid,,,title,extracted_comments,date expression,year begin,month begin,day begin,year end,month end,day end,bulk year begin,bulk month begin,bulk day begin,bulk year end,bulk month end,bulk day end,instance type,container 1 type,container profile,barcode,container 1 value / BOX by default,container 2 type,container 2 value / FOLDER by default,container 3 type,container 3 value,extent number,extent value,generic extent,generic physdesc,origination,bioghist,scope and content note,arrangement note,access restrictions,phystech,physloc (location note),use restrictions,language code,langmaterial note,other finding aid,custodhist,acqinfo,appraisal,accruals,originalsloc,alternative form available,related material,separated material,preferred citation,processing information,control access headings,"component @id (leave blank, unless value already present)",dao link,dao title,"system @id (leave blank, unless value already present)"
2,,,3912326,"Carte routiere de la Belgique et du Grand-Duché de Luxembourg = Wegenkaart van België en het Groothertogdom Luxemburg, [between 1950 and 1959?]",Carte routiere de la Belgique et du Grand-Duché de Luxembourg = Wegenkaart van België en het Groothertogdom Luxemburg,Fre dut,[between 1950 and 1959?],,,,,,,,,,,,,,,,,232,,#1,,,,,,Belgique Luxembourg = België Luxemburg,,,BP ; Mercedes,,,,,,fre,,,,,,,,,,,,,,,,,
2,,,3913364,"Carte routière du Ontario = Highway map of Ontario, [between 1960 and 1969?]",Carte routière du Ontario = Highway map of Ontario ,eng fre,[between 1960 and 1969?],,,,,,,,,,,,,,,,,164,,#1,,,,,,Province of Ontario road map,,,H.M. Gousha Company,,,,,,fre,,,,,,,,,,,,,,,,,
2,,,3913136,"Carte routière et touristique de la province de Quebec, 1957",Carte routière et touristique de la province de Quebec,eng fre,,1957,,,,,,,,,,,,,,,,225,,#1,,,,,,Road map of Quebec a map of Ontario on reverse,,,Rolph-Clark-Stone Limited,,,,,,eng,,,,,,,,,,,,,,,,,
2,,,3913140,"Carte routière et touristique de la province de Québec, [between 1960 and 1969?]",Carte routière et touristique de la province de Québec,eng fre,[between 1960 and 1969?],,,,,,,,,,,,,,,,,225,,#1,,,,,,Quebec road map,,,British America Oil Company.,,,,,,eng,,,,,,,,,,,,,,,,,
2,,,3913159,"Carte routiére et touristique de la province de Quèbec = Tourist and highway map of the province de Québec, 1963",Carte routiére et touristique de la province de Quèbec = Tourist and highway map of the province de Québec ,eng fre,,1963,,,,,,,,,,,,,,,,225,,#1,,,,,,Province de Québec carte routière road map ,,,"Québec (Province). Department of Tourism, Fish and Game",,,,,,fre,,,,,,,,,,,,,,,,,
2,,,3913160,"Carte routiére et touristique de la province de Quèbec = Tourist and highway map of the province de Québec, [between 1960 and 1969?]",Carte routiére et touristique de la province de Quèbec = Tourist and highway map of the province de Québec ,eng fre,[between 1960 and 1969?],,,,,,,,,,,,,,,,,225,,#1,,,,,,Province de Québec carte routière road map ,,,"Québec (Province). Department of Tourism, Fish and Game",,,,,,fre,,,,,,,,,,,,,,,,,
2,,,3913161,"Carte routiére et touristique de la province de Quèbec = Tourist and highway map of the province de Québec, 1959",Carte routiére et touristique de la province de Quèbec = Tourist and highway map of the province de Québec ,eng fre,,1959,,,,,,,,,,,,,,,,225,,#1,,,,,,Carte de la province de Québec = Map of la province de Québec,,,Québec (Province). Provincial Publicity Bureau. Tourist Branch,,,,,,fre,,,,,,,,,,,,,,,,,
2,,,3913162,"Carte routiére et touristique de la province de Quèbec = Tourist and highway map of the province de Québec, 1958",Carte routiére et touristique de la province de Quèbec = Tourist and highway map of the province de Québec ,eng fre,,1958,,,,,,,,,,,,,,,,225,,#1,,,,,,Carte de la province de Québec 1958 = Map of la province de Québec 1958,,,Québec (Province). Provincial Publicity Bureau. Tourist Branch,,,,,,fre,,,,,,,,,,,,,,,,,
2,,,3913163,"Carte routiére et touristique de la province de Quèbec = Tourist and highway map of the province de Québec, 1957",Carte routiére et touristique de la province de Quèbec = Tourist and highway map of the province de Québec ,eng fre,,1957,,,,,,,,,,,,,,,,225,,#1,,,,,,Province de Québec,,,Québec (Province). Provincial Publicity Bureau. Tourist Branch,,,,,,fre,,,,,,,,,,,,,,,,,
2,,,3913164,Carte routiére et touristique de la province de Quèbec = Tourist and highway map of the province de Québec ,Carte routiére et touristique de la province de Quèbec = Tourist and highway map of the province de Québec ,eng fre,,1956,,,,,,,,,,,,,,,,225,,#1,,,,,,Carte de la province de Québec = Map of la province de Québec ,,,Québec (Province). Provincial Publicity Bureau. Tourist Branch,,,,,,fre,,,,,,,,,,,,,,,,,
2,,,3913165,Carte routiére et touristique de la province de Quèbec = Tourist and highway map of the province de Québec ,Carte routiére et touristique de la province de Quèbec = Tourist and highway map of the province de Québec ,eng fre,[between 1950 and 1959?],,,,,,,,,,,,,,,,,225,,#1,,,,,,Carte de la province de Québec = Map of la province de Québec ,,,Québec (Province). Provincial Publicity Bureau. Tourist Branch,,,,,,fre,,,,,,,,,,,,,,,,,
2,,,3913166,Carte routiére et touristique de la province de Quèbec = Tourist and highway map of the province de Québec ,Carte routiére et touristique de la province de Quèbec = Tourist and highway map of the province de Québec ,eng fre,,1958,,,,,,,,,,,,,,,,225,,#1,,,,,,Carte de la province de Québec 1958 = Map of la province de Québec 1958,,,Québec (Province). Provincial Publicity Bureau. Tourist Branch,,,,,,fre,,,,,,,,,,,,,,,,,
2,,,3913130,Carte routiére et touristique de la province de Quèbec = Tourist and highway map of the province de Québec ,Carte routière et touristique de la province de Québec = Tourist and highway map of the province of Québec ,eng fre,,1950,,,,,,,,,,,,,,,,225,,#1,,,,,,Province de Québec,,,"Provincial Publicity Bureau, Quebec.",,,,,,fre,,,,,,,,,,,,,,,,,
2,,,3913134,Carte routiére et touristique de la province de Quèbec = Tourist and highway map of the province de Québec ,Carte routière et touristique de la province de Québec = Tourist and highway map of the province of Québec ,eng fre,,1953,,,,,,,,,,,,,,,,225,,#1,,,,,,La province de Québec,,,Province of Quebec Tourist Bureau,,,,,,fre,,,,,,,,,,,,,,,,,
2,,,3913167,"Carte routiére et touristique de la province de Quèbec 1930 = Tourist and highway map of the province de Québec 1930, 1930",Carte routiére et touristique de la province de Quèbec 1930 = Tourist and highway map of the province de Québec 1930,eng fre,,1930,,,,,,,,,,,,,,,,225,,#1,,,,,,Province de Québec Canada carte routière et touristique 1930 = Province of Québec Canada highway and tourist map 1930,,,Québec (Province). Provincial Publicity Bureau. Tourist Branch,,,,,,fre,,,,,,,,,,,,,,,,,
2,,,3913104,"Carte routière Quebec = Road map of Quebec ; Road map of Maritime Provinces, 1962",Carte routière Quebec = Road map of Quebec ; Road map of Maritime Provinces,eng fre,,1962,,,,,,,,,,,,,,,,225,,#1,,,,,,Quebec et les Provinces Maritimes = Maritime Provinces and Quebec,,,Rolph-Clark-Stone Limited,,,,,,fre,,,,,,,,,,,,,,,,,
2,,,3913218,"Cartes des lignes = Route map, 1963",Cartes des lignes = Route map,eng fre,,1963,,,,,,,,,,,,,,,,163,,#1,,,,,,Cartes des lignes = Route map,,,Montreal Transportation Commission,,,,,,fre,,,,,,,,,,,,,,,,,
2,,,3913231,"Cartes des rue de Montréal et environs = Street map of Montréal and vincinity, 1971",Cartes des rue de Montréal et environs = Street map of Montréal and vincinity ,eng fre,,1971,,,,,,,,,,,,,,,,164,,#1,,,,,,Montréal,,,Grant-Mann Lithographers Limited.,,,,,,fre,,,,,,,,,,,,,,,,,
2,,,3913236,"Cartes des rue de Montréal et environs = Street map of Montréal and vincinity, 1985",Cartes des rue de Montréal et environs = Street map of Montréal and vincinity ,eng fre,,1985,,,,,,,,,,,,,,,,164,,#1,,,,,,Montreal,,,H.M. Gousha Co.,,,,,,fre,,,,,,,,,,,,,,,,,
2,,,3912400,"CentralKøbenhaven = Copenhagen (the central area), 1969",CentralKøbenhaven = Copenhagen (the central area),Dut eng,,1969,,,,,,,,,,,,,,,,233,,#1,,,,,,Central-København turistkort = Copenhagen tourist map : the central area,,,Geodætisk Intitut,,,,,,eng,,,,,,,,,,,,,,,,,
2,,,3913209,"Centre de Montréal = Heart of Montreal, [between 1960 and 1969?]",Centre de Montréal = Heart of Montreal,eng fre,[between 1960 and 1969?],,,,,,,,,,,,,,,,,226,,#1,,,,,,Montréal,,,Economic Developmental Bureau of the City of Montreal,,,,,,fre,,,,,,,,,,,,,,,,,
2,,,3913220,"Centre de Montréal = Heart of Montreal, [1964?]",Centre de Montréal = Heart of Montreal,eng fre,[1964?],,,,,,,,,,,,,,,,,226,,#1,,,,,,Montréal,,,Economic Developmental Bureau of the City of Montreal,,,,,,fre,,,,,,,,,,,,,,,,,
2,,,3913254,"Centre-ville Quèbec = Quèbec mid-town, [1983?]",Centre-ville Quèbec = Quèbec mid-town,eng fre,[1983?],,,,,,,,,,,,,,,,,164,,#1,,,,,,Région de Québec carte touristique = Québec region tourist map,,,Ministère de l'Industrie du Commerce et du Tourisme,,,,,,fre,,,,,,,,,,,,,,,,,
2,,,3913172,"Chicoutimi, [between 1960 and 1969?]",Chicoutimi,eng fre,[between 1960 and 1969?],,,,,,,,,,,,,,,,,226,,#1,,,,,,Plan touristique de Chicoutimi = Chicoutimi Tourist Plan,,,Sagueay and Lake St. John Toursit Association,,,,,,eng,,,,,,,,,,,,,,,,,
2,,,3913265,"Cité de Québec, [between 1950 and 1959?]",Cité de Québec,eng fre,[between 1950 and 1959?],,,,,,,,,,,,,,,,,226,,#1,,,,,,Tourist map of Québec = Plan touristique de Québec,,,Quebec Municipal Tourist Bureau,,,,,,fre,,,,,,,,,,,,,,,,,
2,,,3913267,"Cité de Québec, [between 1950 and 1959?]",Cité de Québec,eng fre,[between 1950 and 1959?],,,,,,,,,,,,,,,,,226,,#1,,,,,,Tourist map of Québec = plan touristique de Québec,,,Quebec Municipal Tourist and Industrial Bureau,,,,,,fre,,,,,,,,,,,,,,,,,
2,,,3913268,"Cité de Québec, [between 1950 and 1959?]",Cité de Québec,eng fre,[between 1950 and 1959?],,,,,,,,,,,,,,,,,226,,#1,,,,,,Tourist map of Québec = plan touristique de Québec,,,Quebec Municipal Tourist and Industrial Bureau,,,,,,fre,,,,,,,,,,,,,,,,,
2,,,3912092,"City of London, 1963",City of London,Eng fre ger,,1963,,,,,,,,,,,,,,,,230,,#1,,,,,,Geographers' map of the city of London,,,Geographers' Map Co. Ltd.,,,,,,eng,,,,,,,,,,,,,,,,,
2,,,3913417,"City of Ottawa, 1967",City of Ottawa,eng fre,,1967,,,,,,,,,,,,,,,,227,,#1,,,,,,Tourist map Ottawa = Carte touristique Ottawa,,,City of Ottowa,,,,,,eng,,,,,,,,,,,,,,,,,
2,,,3913418,"City of Ottawa, 1964",City of Ottawa,eng fre,,1964,,,,,,,,,,,,,,,,227,,#1,,,,,,Tourist map Ottawa = Carte touristique Ottawa,,,City of Ottowa,,,,,,eng,,,,,,,,,,,,,,,,,
2,,,3912383,"Danmark, [between 1961 and 1987?]",Danmark,Dan eng,[between 1961 and 1987?],,,,,,,,,,,,,,,,,158,,#1,,,,,,Danmark,,,"Geodætisk Institut ; [General Drafting Co., Inc.?]",,,,,,dan,,,,,,,,,,,,,,,,,
2,,,3912384,"Danmark = Denmark, 1958",Danmark = Denmark,Dan eng,,1958,,,,,,,,,,,,,,,,158,,#1,,,,,,Danmark,,,"Geodætisk Institut ; General Drafting Co., Inc.",,,,,,dan,,,,,,,,,,,,,,,,,
2,,,3912489,"Deutschland Bundesrepublik und Mitteldeutschland, 1962",Deutschland Bundesrepublik und Mitteldeutschland,Ger fre eng swe,,1962,,,,,,,,,,,,,,,,159,,#1,,,,,,,,,Karl Thiemig KG,,,,,,ger,,,,,,,,,,,,,,,,,
2,,,3923643,"Domincan Republic, 1995",Domincan Republic,eng fre ger ita spa,,1995,,,,,,,,,,,,,,,,229,,#1,,,,,,Dominican Republic road map,,,Berndtson & Berndtson,,,,,,eng,,,,,,,,,,,,,,,,,
2,,,3923644,"Domincan Republic, 1996",Domincan Republic,eng fre ger ita spa,,1996,,,,,,,,,,,,,,,,229,,#1,,,,,,Dominican Republic road map,,,Berndtson & Berndtson,,,,,,eng,,,,,,,,,,,,,,,,,
2,,,3912705,"España - Portugal, 1956",España - Portugal,Eng spa,,1956,,,,,,,,,,,,,,,,160,,#1,,,,,,España Portugal,,,"General Drafting Co., Inc.",,,,,,eng,,,,,,,,,,,,,,,,,
2,,,3912012,"Europe : roads and places of interest = Europe : routes et curiosités = Europa : Strassen und Sehenswürdigkeiten, 1973",Europe : roads and places of interest = Europe : routes et curiosités = Europa : Strassen und Sehenswürdigkeiten,Dut ger eng fre,,1973,,,,,,,,,,,,,,,,230,,#1,,,,,,,,,Mairs Geographischer Verlag,,,,,,dut,,,,,,,,,,,,,,,,,
2,,,3912011,"Europe = Europa, [between 1970 and 1979?]",Europe = Europa,Fre eng ger dut ita spa,[between 1970 and 1979?],,,,,,,,,,,,,,,,,230,,#1,,,,,,,,,Fina ; R. de Rouck,,,,,,fre,,,,,,,,,,,,,,,,,
2,,,3912824,"Europe: road map = Europa : carte routiere 28 = Europa : Strassenkarte, 1954",Europe: road map = Europa : carte routiere 28 = Europa : Strassenkarte,Fre eng ita ger dut spa por swe,,1954,,,,,,,,,,,,,,,,237,,#1,,,,,,,,,Alliance Internationale de Tourisme,,,,,,fre,,,,,,,,,,,,,,,,,
2,,,3912723,"Excursiones = sightseeing, 1962",Excursiones = sightseeing,Spa eng fre,,1962,,,,,,,,,,,,,,,,160,,#1,,,,,,,,,"Viajes Viking, S. A.",,,,,,spa,,,,,,,,,,,,,,,,,
2,,,3912712,"Excursiones = Sightseeings = Rundfahrt = Excursions : Madrid, [between 1970 and 1979?]",Excursiones = Sightseeings = Rundfahrt = Excursions : Madrid,Spa eng fre,[between 1970 and 1979?],,,,,,,,,,,,,,,,,160,,#1,,,,,,,,,Meliá,,,,,,spa,,,,,,,,,,,,,,,,,
